title,release_year,vote_average,popularity,genres,success
Predator 2,1990,6.0,11.736241,"Science Fiction, Action, Thriller",1
The Running Man,1987,6.4,9.389976,"Action, Science Fiction",1
Starman,1984,6.6,9.763928,"Action, Adventure, Romance, Science Fiction",1
Alien Nation,1988,5.9,15.133316,"Crime, Science Fiction, Thriller",1
Mad Max,1979,6.6,11.412619,"Adventure, Action, Thriller, Science Fiction",1
Mad Max 2: The Road Warrior,1981,7.3,11.189831,"Adventure, Action, Thriller, Science Fiction",1
Mad Max Beyond Thunderdome,1985,5.9,12.689648,"Action, Adventure, Science Fiction",1
Angel Heart,1987,7.0,7.290872,"Horror, Mystery, Thriller",1
Nine 1/2 Weeks,1986,5.8,6.706262,"Drama, Romance",0
Firestarter,1984,5.9,7.048087,"Fantasy, Drama, Horror, Action, Thriller",1
Action Jackson,1988,4.9,14.054862,"Action, Adventure, Comedy, Crime, Drama",1
Gone in Sixty Seconds,2000,6.1,14.091765,"Action, Crime, Thriller",1
Love's Labour's Lost,2000,5.4,5.867426,"Comedy, Music, Romance",0
Shaft,1971,6.5,3.73688,"Adventure, Action, Thriller, Crime",1
The Conversation,1974,7.5,13.245638,"Crime, Drama, Mystery",1
The Fury,1978,6.2,11.844029,"Horror, Science Fiction, Thriller",1
Serpico,1973,7.5,12.842165,"Crime, Drama, History",1
Ace in the Hole,1951,7.9,11.046411,Drama,0
The Sugarland Express,1974,6.4,4.506948,"Crime, Drama",1
Big Trouble in Little China,1986,7.1,11.109932,"Action, Adventure, Comedy, Fantasy",0
Boys and Girls,2000,5.4,10.070988,"Comedy, Drama, Romance",1
Shaft,2000,5.5,7.420019,"Action, Adventure, Crime, Thriller",1
Titan A.E.,2000,6.3,7.515631,"Animation, Action, Science Fiction, Family, Adventure",0
Butterfly,1999,7.2,2.753674,Drama,1
Chicken Run,2000,6.5,11.834245,"Animation, Comedy, Family",1
"Me, Myself & Irene",2000,6.1,9.95456,Comedy,1
The Patriot,2000,6.8,15.960788,"Drama, History, War, Action",1
The Adventures of Rocky & Bullwinkle,2000,3.9,11.880936,"Action, Adventure, Animation, Comedy, Family",0
The Perfect Storm,2000,6.2,18.911961,Drama,1
Missing in Action,1984,5.2,6.241185,"Action, Adventure, Thriller, War",1
Missing in Action 2: The Beginning,1985,5.0,9.110348,"Action, Adventure, War",1
House Party,1990,6.1,2.291511,"Comedy, Drama",1
Shaft in Africa,1973,5.4,1.424722,"Adventure, Action, Thriller, Crime, Mystery",0
Shaft's Big Score!,1972,6.1,0.760855,"Action, Adventure, Crime, Mystery",1
The Kid,2000,6.0,15.045725,"Fantasy, Comedy, Family",1
Scary Movie,2000,6.0,12.446738,Comedy,1
But I'm a Cheerleader,1999,6.5,4.928139,Comedy,1
Footloose,1984,6.4,10.403992,"Drama, Family, Music, Romance",1
Duel in the Sun,1946,6.2,8.441279,Western,1
X-Men,2000,6.8,0.954467,"Adventure, Action, Science Fiction",1
The In Crowd,2000,4.7,1.991904,Thriller,0
What Lies Beneath,2000,6.3,9.500497,"Drama, Horror, Mystery, Thriller",1
Pokémon: The Movie 2000,1999,6.4,7.554848,"Adventure, Fantasy, Animation, Science Fiction, Family",1
Sinbad and the Eye of the Tiger,1977,6.3,3.502655,"Action, Adventure, Family, Fantasy, Science Fiction",1
What About Bob?,1991,6.7,11.787942,Comedy,1
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,1972,6.6,5.378481,Comedy,1
Love and Death,1975,7.5,5.165666,"History, Comedy",1
Nutty Professor II: The Klumps,2000,4.7,6.671316,"Fantasy, Comedy, Romance, Science Fiction",1
Coyote Ugly,2000,5.8,15.650836,"Comedy, Drama, Music, Romance",1
Hollow Man,2000,5.6,7.912103,"Action, Science Fiction, Thriller",1
Space Cowboys,2000,6.3,7.45761,"Action, Adventure, Thriller",1
Saving Grace,2000,6.3,5.13955,"Crime, Comedy",1
The Crush,1993,5.5,8.976337,"Drama, Thriller",1
Kelly's Heroes,1970,7.2,8.418662,"Adventure, Comedy, War",1
Phantasm II,1988,6.3,8.733192,"Action, Horror, Science Fiction, Thriller",1
Pumpkinhead,1988,5.9,11.841506,"Fantasy, Horror",1
Silent Fall,1994,5.2,3.034244,"Drama, Thriller, Mystery",0
The Cell,2000,6.0,13.234894,"Horror, Science Fiction, Thriller",1
Godzilla 2000,1999,5.9,2.80298,"Adventure, Horror, Action, Science Fiction",1
The Naked Gun: From the Files of Police Squad!,1988,7.1,15.698222,"Comedy, Crime",1
The Naked Gun 2½: The Smell of Fear,1991,6.6,9.794569,"Comedy, Crime",1
Shane,1953,7.3,6.63816,"Drama, Western",1
Supergirl,1984,4.7,11.932675,"Adventure, Fantasy, Action, Science Fiction",0
The Art of War,2000,5.6,9.800232,"Crime, Action, Adventure",0
Bring It On,2000,5.8,6.402888,Comedy,1
Highlander: Endgame,2000,4.4,11.430964,"Action, Fantasy, Science Fiction",0
The Way of the Gun,2000,6.4,6.03633,"Action, Crime, Drama, Thriller",1
Almost Famous,2000,7.4,9.086699,"Drama, Music",0
Under Suspicion,2000,6.4,11.839267,"Mystery, Thriller",0
Urban Legends: Final Cut,2000,4.4,12.243528,Horror,1
Dancer in the Dark,2000,7.7,10.684806,"Drama, Crime, Music",1
The Broken Hearts Club: A Romantic Comedy,2000,6.3,1.795849,"Comedy, Drama, Romance",1
Remember the Titans,2000,7.4,6.587726,Drama,1
Hellraiser,1987,6.9,10.81305,Horror,1
Hellbound: Hellraiser II,1988,6.3,8.541732,"Horror, Thriller",1
Hellraiser III: Hell on Earth,1992,5.3,6.546551,"Horror, Thriller, War",1
Voyage to the Bottom of the Sea,1961,5.4,3.013584,"Adventure, Drama, Science Fiction",1
Fantastic Voyage,1966,6.7,12.53841,"Adventure, Science Fiction",1
Get Carter,2000,4.8,6.047757,"Action, Drama, Thriller, Crime",0
Meet the Parents,2000,6.6,14.178281,"Comedy, Romance",1
Requiem for a Dream,2000,7.9,6.874828,"Crime, Drama",1
The Ladies Man,2000,5.7,3.755409,Comedy,0
Ghoulies,1984,4.2,4.734765,"Comedy, Horror, Fantasy",1
Billy Elliot,2000,7.4,12.158424,"Drama, Comedy, Music",1
Bedazzled,2000,5.6,8.781588,"Fantasy, Comedy, Romance",1
Pay It Forward,2000,7.0,10.479723,"Drama, Romance",1
The Little Vampire,2000,6.0,9.41834,"Family, Horror",0
Charlie's Angels,2000,5.6,9.774985,"Action, Adventure, Comedy, Crime, Thriller",1
The Legend of Bagger Vance,2000,6.4,9.034884,"Fantasy, Drama",0
Men of Honor,2000,7.0,7.177649,Drama,1
Red Planet,2000,5.4,8.534176,"Thriller, Action, Science Fiction",0
Diamonds Are Forever,1971,6.3,12.00491,"Adventure, Action, Thriller",1
The 6th Day,2000,5.7,8.41311,Science Fiction,1
Bounce,2000,5.5,13.349518,"Drama, Romance",1
How the Grinch Stole Christmas,2000,6.2,11.642462,"Family, Comedy, Fantasy",1
Rugrats in Paris: The Movie,2000,6.0,5.568359,"Adventure, Animation, Comedy, Family",1
102 Dalmatians,2000,5.1,7.668752,"Comedy, Family",1
Quills,2000,6.8,5.387711,Drama,0
Unbreakable,2000,6.9,14.67855,"Science Fiction, Thriller, Drama",1
"Crouching Tiger, Hidden Dragon",2000,7.2,19.944953,"Adventure, Drama, Action, Romance",1
Dungeons & Dragons,2000,3.9,4.884311,"Action, Adventure, Fantasy, Science Fiction",0
Vertical Limit,2000,5.9,6.548229,"Action, Adventure, Thriller",1
The Bounty,1984,6.5,7.492912,"Action, Drama, History",0
The Living Daylights,1987,6.2,12.189038,"Action, Adventure, Thriller",1
The Transformers: The Movie,1986,7.1,6.759181,Animation,0
Wall Street,1987,7.0,11.672701,"Crime, Drama",1
Born on the Fourth of July,1989,6.7,13.617646,"Drama, War",1
Talk Radio,1988,6.7,6.865513,Drama,0
Brewster's Millions,1985,6.5,6.526379,Comedy,1
Snatch,2000,7.7,14.014025,"Thriller, Crime",1
Punchline,1988,5.1,5.764399,"Comedy, Drama",1
Chocolat,2000,6.8,8.9256,"Comedy, Drama, Romance",1
"Dude, Where’s My Car?",2000,5.3,10.890236,Comedy,1
The Emperor's New Groove,2000,7.2,12.297375,"Adventure, Animation, Comedy, Family, Fantasy",1
Pollock,2000,6.6,11.179864,"Drama, Romance",1
What Women Want,2000,6.1,9.963079,"Comedy, Romance",1
Finding Forrester,2000,7.0,10.536255,Drama,1
The Gift,2000,6.4,7.886926,"Horror, Drama, Thriller, Mystery",1
Cast Away,2000,7.5,21.296343,"Adventure, Drama",1
The House of Mirth,2000,6.4,2.492547,"Drama, Romance",0
Miss Congeniality,2000,6.1,9.510762,"Comedy, Crime, Action",1
"O Brother, Where Art Thou?",2000,7.3,12.434175,"Action, Adventure, Comedy",1
Dracula 2000,2000,4.6,6.000716,"Thriller, Horror",1
Thirteen Days,2000,6.9,10.204559,"Drama, Thriller",0
Traffic,2000,6.9,8.338222,"Thriller, Drama, Crime",1
Shadow of the Vampire,2000,6.6,12.691457,"Drama, Horror",1
Annie,1982,6.2,8.997507,"Comedy, Drama, Family, Music",1
Don't Tell Mom the Babysitter's Dead,1991,5.8,5.402262,"Comedy, Family",1
The Alamo,1960,6.5,4.73816,"Action, Adventure, Drama, History, Western",0
At Close Range,1986,6.7,10.092348,"Crime, Drama",0
Antitrust,2001,5.8,8.142166,"Action, Crime, Drama",0
Save the Last Dance,2001,6.3,4.794088,"Drama, Family, Romance, Music",1
Panic,2000,6.8,7.554807,"Comedy, Crime, Drama",0
The Pledge,2001,6.6,12.806634,"Crime, Drama, Mystery, Thriller",0
Sugar & Spice,2001,5.7,7.715908,"Crime, Comedy",1
The Wedding Planner,2001,5.4,8.056016,Comedy,1
Barfly,1987,7.3,15.170192,"Comedy, Drama, Romance",1
Beverly Hills Cop II,1987,6.1,9.200336,"Action, Comedy, Crime",1
Beverly Hills Cop,1984,6.8,8.503483,"Action, Comedy, Crime",1
Can't Buy Me Love,1987,6.7,9.104462,"Drama, Comedy, Romance, Family",1
Cherry 2000,1987,6.0,2.849779,Science Fiction,0
Empire of the Sun,1987,7.3,10.220906,"Drama, History, War",0
Ernest Goes to Camp,1987,5.5,5.712291,"Comedy, Family",1
The Evil Dead,1981,7.3,10.421679,Horror,1
Ishtar,1987,4.3,3.986985,"Action, Adventure, Comedy",0
Jaws: The Revenge,1987,3.5,9.327986,"Adventure, Thriller",1
Less Than Zero,1987,6.1,4.028679,"Drama, Crime, Romance",1
The Lost Boys,1987,6.8,9.099731,"Horror, Comedy",1
Mannequin,1987,5.5,8.525782,"Fantasy, Comedy, Romance",1
Masters of the Universe,1987,5.1,7.106954,"Action, Fantasy, Science Fiction, Adventure, Thriller",0
The Monster Squad,1987,6.8,7.075534,"Horror, Comedy, Action, Fantasy, Science Fiction",0
Head Over Heels,2001,5.3,5.594987,"Comedy, Romance",0
Hannibal,2001,6.4,2.48875,"Crime, Drama, Thriller, Horror",1
Saving Silverman,2001,5.4,8.526823,"Comedy, Crime, Romance",0
Recess: School's Out,2001,6.6,4.195694,"Science Fiction, Animation, Comedy, Family",1
Sweet November,2001,6.4,14.840318,"Drama, Romance",1
Monkeybone,2001,4.2,8.893957,"Adventure, Fantasy, Animation, Action, Comedy",0
3000 Miles to Graceland,2001,5.8,4.76448,"Action, Adventure, Comedy, Thriller, Crime",0
The Mexican,2001,5.8,9.958406,"Action, Comedy, Crime, Romance",1
"Me, You, Them",2000,6.5,1.075939,"Comedy, Drama, Romance",1
15 Minutes,2001,5.7,12.149946,"Action, Crime, Thriller",0
The Greatest Story Ever Told,1965,6.5,3.961342,"Drama, History",0
Elmer Gantry,1960,7.3,6.409512,Drama,1
Battle Beyond the Stars,1980,5.9,2.921405,Science Fiction,1
Death Warrant,1990,5.4,13.90542,"Action, Crime, Drama, Mystery, Thriller",1
Double Impact,1991,5.3,6.600651,"Thriller, Action, Crime, Drama",1
Harley Davidson and the Marlboro Man,1991,6.1,7.338188,"Action, Thriller",0
Losin' It,1983,4.5,3.132019,Comedy,0
Mermaids,1990,6.5,5.55237,"Comedy, Drama, Romance",1
Manhunter,1986,6.8,0.338943,"Crime, Horror, Thriller",0
Death on the Nile,1978,6.7,11.162277,Mystery,1
The Longest Yard,1974,6.4,9.460843,"Crime, Comedy, Drama",1
C.H.U.D.,1984,5.3,4.412794,"Horror, Science Fiction",1
Enemy at the Gates,2001,7.2,10.704813,War,1
Exit Wounds,2001,5.3,12.280827,"Action, Crime, Thriller",1
Memento,2000,8.1,15.450789,"Mystery, Thriller",1
Spy Kids,2001,5.5,9.576745,"Action, Comedy, Family, Adventure",1
Tomcats,2001,4.9,4.63422,"Comedy, Romance",1
The Tailor of Panama,2001,6.2,6.226933,"Drama, Thriller",1
Amores perros,2000,7.6,5.958138,"Drama, Thriller",1
Along Came a Spider,2001,6.1,13.214068,"Crime, Mystery, Thriller, Action",1
Blow,2001,7.4,12.332223,"Crime, Drama",1
Pokémon: Spell of the Unknown,2000,6.0,10.264597,"Adventure, Fantasy, Animation, Action, Family",1
Brigham City,2001,7.3,0.202478,"Crime, Drama, Mystery, Thriller",0
Bridget Jones's Diary,2001,6.6,10.780524,"Comedy, Romance, Drama",1
Joe Dirt,2001,5.5,10.442468,"Mystery, Adventure, Comedy, Romance, Drama",1
Crocodile Dundee in Los Angeles,2001,4.7,6.640385,"Adventure, Comedy",1
Scarface,1983,8.0,11.299673,"Action, Crime, Drama, Thriller",1
Driven,2001,4.5,5.310558,Action,0
Town & Country,2001,4.1,1.901065,"Comedy, Romance",0
The Mummy Returns,2001,6.0,16.945657,"Adventure, Action, Fantasy",1
Cleopatra,1963,6.7,8.591238,"Drama, History, Romance",1
Krull,1983,5.8,9.848674,"Fantasy, Action, Adventure",0
The World According to Garp,1982,6.9,5.036929,Comedy,1
A Home of Our Own,1993,7.0,4.497919,"Comedy, Drama",0
For the Boys,1991,6.5,10.336913,"Music, Drama",0
Love Story,1970,6.6,6.127903,"Drama, Romance",1
A Knight's Tale,2001,6.6,10.90061,"Adventure, Drama, Romance, Action",1
Angel Eyes,2001,5.5,5.3962,"Drama, Romance, Thriller",0
Shrek,2001,7.3,17.987728,"Adventure, Animation, Comedy, Family, Fantasy",1
Moulin Rouge!,2001,7.4,13.691781,"Drama, Music, Romance",1
Pearl Harbor,2001,6.6,11.419388,"History, Romance, War",1
Postcards from the Edge,1990,6.3,2.523655,"Comedy, Drama",1
City Slickers,1991,6.2,7.334686,"Action, Adventure, Comedy, Drama, Western",1
Mississippi Burning,1988,7.4,13.971865,"Thriller, Crime, Drama",1
The Magnificent Seven,1960,7.4,10.650752,Western,1
Throw Momma from the Train,1987,6.0,6.573364,"Crime, Comedy",1
The Sand Pebbles,1966,7.2,11.354247,"Action, Adventure, Drama, War, Romance",1
The Animal,2001,4.6,8.473369,"Action, Comedy",1
Evolution,2001,5.7,5.395127,"Action, Comedy, Science Fiction",1
Swordfish,2001,6.1,9.646208,"Action, Crime, Thriller",1
Catch-22,1970,6.7,4.984905,"War, Comedy, Drama",1
Point Break,1991,6.9,11.453093,"Action, Thriller, Crime",1
Unlawful Entry,1992,5.8,6.477258,"Crime, Thriller",1
Macabre,1958,6.1,0.837849,"Horror, Thriller",1
Tootsie,1982,6.9,8.451188,"Comedy, Romance",1
Atlantis: The Lost Empire,2001,6.7,10.901602,"Animation, Family, Adventure, Science Fiction",1
Lara Croft: Tomb Raider,2001,5.7,15.851722,"Adventure, Fantasy, Action, Thriller",1
Dr. Dolittle 2,2001,4.9,7.906683,"Comedy, Family, Romance, Fantasy",1
The Fast and the Furious,2001,6.6,1.406181,"Action, Crime, Thriller",1
A.I. Artificial Intelligence,2001,6.8,13.249364,"Drama, Science Fiction, Adventure",1
Baby Boy,2001,7.3,9.503157,"Crime, Drama, Romance",1
Crazy/Beautiful,2001,6.6,6.236729,"Drama, Romance",1
Cats & Dogs,2001,5.0,8.142251,"Comedy, Family",1
Kiss of the Dragon,2001,6.4,7.637345,"Action, Crime, Thriller",1
Scary Movie 2,2001,5.4,10.869056,Comedy,1
The Cannonball Run,1981,6.2,6.693055,Comedy,1
Donovan's Reef,1963,6.0,1.920256,"Adventure, Comedy, Romance",1
House of Usher,1960,6.5,3.481988,"Horror, Thriller",1
The Man Who Shot Liberty Valance,1962,7.4,6.641827,Western,1
Shadows and Fog,1991,7.0,8.678022,"Thriller, Comedy",0
The Misfits,1961,6.8,5.317544,"Drama, Action, Romance",1
Moby Dick,1956,6.9,4.31583,"Adventure, Drama",1
The Last Dragon,1985,6.4,6.830599,"Action, Adventure, Comedy",1
Outland,1981,6.2,6.918821,Science Fiction,1
The Way of the Dragon,1972,7.4,11.116474,"Action, Crime",1
Final Fantasy: The Spirits Within,2001,5.9,10.223851,"Adventure, Action, Animation, Fantasy, Science Fiction, Thriller",0
Legally Blonde,2001,6.2,12.769371,Comedy,1
The Score,2001,6.7,14.741992,"Action, Crime, Thriller",1
Made,2001,6.3,3.531682,"Action, Comedy, Thriller",1
Above the Law,1988,5.9,5.283245,"Action, Adventure, Drama, Thriller",1
The Adventures of Baron Munchausen,1988,6.9,7.753416,"Action, Adventure, Comedy, Fantasy",0
Apartment Zero,1988,6.9,3.927714,"Thriller, Horror, Drama",0
Bad Dreams,1988,5.3,5.296777,"Horror, Thriller",1
Biloxi Blues,1988,6.4,4.619593,"Comedy, Drama, Romance",1
The Blob,1988,6.3,10.874079,"Horror, Science Fiction",0
The Boost,1988,5.3,0.964399,"Drama, Romance",0
Camille Claudel 1915,2013,7.0,0.134014,Drama,0
Cocktail,1988,5.7,9.270831,"Drama, Romance",1
Colors,1988,6.6,5.529808,"Action, Crime, Drama",1
Coming to America,1988,6.5,7.830087,"Comedy, Romance",1
Critters,1986,5.9,10.113807,"Action, Comedy, Horror, Science Fiction, Thriller",1
Critters 2,1988,5.0,9.97523,"Comedy, Horror, Science Fiction, Thriller",0
Ernest Saves Christmas,1988,4.9,3.590547,"Comedy, Family",1
Frantic,1988,6.6,8.105859,"Crime, Drama, Mystery, Thriller",0
The Great Outdoors,1988,6.4,11.666172,Comedy,1
Hot to Trot,1988,5.1,1.99161,Comedy,0
The Lair of the White Worm,1988,5.8,9.97466,"Comedy, Horror",0
The Land Before Time,1988,7.0,13.631352,"Animation, Adventure, Family",1
License to Drive,1988,6.1,9.631158,"Comedy, Family",1
My Stepmother is an Alien,1988,5.3,6.493525,"Comedy, Science Fiction",0
Off Limits,1988,5.6,11.516965,"Action, Crime, Drama, Mystery, Thriller",0
Permanent Record,1988,5.7,1.194377,Drama,0
Red Heat,1988,5.8,14.25013,"Action, Crime",1
Return of the Living Dead Part II,1988,5.8,6.606325,"Comedy, Horror",1
The Return of the Living Dead,1985,7.3,6.258984,"Comedy, Horror",1
The Man from Snowy River,1982,6.9,3.382894,"Family, Drama, Action, Western, Romance",1
The Serpent and the Rainbow,1988,6.2,7.791952,"Horror, Thriller",1
Sunset,1988,5.6,1.835663,"Action, Comedy, Crime, Mystery, Thriller",0
They Live,1988,7.1,11.292364,"Action, Horror, Science Fiction, Thriller",1
Twins,1988,5.7,5.952494,Comedy,1
Always,1989,6.0,5.443097,"Fantasy, Drama, Romance",1
American Ninja,1985,5.5,7.314536,"Action, Adventure",1
The Big Picture,1989,5.9,6.69473,"Comedy, Drama, Romance",0
Bill & Ted's Excellent Adventure,1989,6.7,15.109261,"Adventure, Comedy, Science Fiction",1
Black Rain,1989,6.2,6.973408,"Action, Thriller, Crime",1
Casualties of War,1989,6.8,7.435688,"Drama, History, War",0
Cyborg,1989,4.9,8.473602,"Action, Science Fiction",1
Dad,1989,5.6,2.727017,"Drama, Comedy",1
Earth Girls Are Easy,1988,5.5,11.509677,"Music, Comedy, Drama, Romance, Science Fiction",0
Farewell to the King,1989,5.9,1.629224,"War, Adventure",0
Harlem Nights,1989,5.7,9.01086,"Comedy, Crime, Drama",1
Johnny Handsome,1989,6.1,9.059459,"Crime, Drama",0
K-9,1989,5.5,5.772293,"Action, Comedy, Crime",1
Kickboxer,1989,6.3,6.939994,"Action, Thriller",1
Leviathan,1989,6.0,10.653446,"Adventure, Horror, Action, Thriller, Science Fiction",0
Little Monsters,1989,5.6,6.256969,"Adventure, Fantasy, Comedy, Family",0
Lock Up,1989,6.2,4.701379,"Action, Adventure, Crime, Drama, Thriller",0
Look Who's Talking,1989,5.8,5.795045,"Comedy, Romance",1
Major League,1989,6.7,5.304376,Comedy,1
Miracle Mile,1989,7.2,10.018693,"Romance, Science Fiction, Thriller",0
Next of Kin,1989,5.0,3.801832,"Adventure, Drama, Action, Thriller",1
No Holds Barred,1989,5.6,0.863547,"Action, Drama",1
Red Scorpion,1988,4.9,2.549325,"Action, History, War",0
Jurassic Park III,2001,5.7,0.648867,"Adventure, Action, Thriller, Science Fiction",1
Brother,2000,6.8,8.134524,"Crime, Drama, Thriller",1
Planet of the Apes,2001,5.6,17.319836,"Thriller, Science Fiction, Action, Adventure",1
Cure,1997,7.4,3.111281,"Crime, Horror, Mystery, Thriller",1
Jackpot,2001,6.0,0.218588,,0
Wet Hot American Summer,2001,6.4,6.386082,Comedy,0
Road House,1989,6.3,2.943427,"Action, Thriller",1
Sea of Love,1989,6.7,9.801967,"Drama, Crime, Mystery",1
"See No Evil, Hear No Evil",1989,6.4,17.367336,"Crime, Comedy",1
Shocker,1989,5.5,5.587765,"Thriller, Comedy, Horror",1
Tango & Cash,1989,6.1,7.507261,"Action, Adventure, Comedy",1
Three Fugitives,1989,6.0,3.96986,Comedy,1
Uncle Buck,1989,6.6,8.13754,"Comedy, Drama, Family",1
Vampire's Kiss,1988,6.0,3.265426,"Comedy, Horror",0
The Wizard,1989,6.1,5.763954,"Adventure, Comedy, Drama, Family, Romance",1
The Cotton Club,1984,6.5,9.508061,"Music, Drama, Crime, Romance",0
Original Sin,2001,5.8,9.970359,Thriller,0
The Princess Diaries,2001,6.5,7.387171,"Comedy, Family, Romance",1
Rush Hour 2,2001,6.4,8.345985,"Action, Comedy, Crime, Thriller",1
Paint Your Wagon,1969,6.3,10.648872,"Drama, Action, Comedy, Western, Music",1
Altered States,1980,6.7,10.603299,"Mystery, Drama, Fantasy, Science Fiction, Thriller, Horror",1
American Pie 2,2001,6.0,10.25103,"Comedy, Romance",1
Osmosis Jones,2001,6.0,6.405831,"Adventure, Animation, Action, Comedy, Family",0
American Outlaws,2001,5.7,10.855383,"Action, Western",0
Session 9,2001,6.2,14.242234,"Horror, Mystery",0
Captain Corelli's Mandolin,2001,5.6,9.243715,"Drama, History, Romance",1
Rat Race,2001,6.0,12.330275,"Adventure, Comedy",1
Jay and Silent Bob Strike Back,2001,6.4,11.619446,Comedy,1
Ghosts of Mars,2001,4.8,7.058599,"Action, Horror, Science Fiction",0
Summer Catch,2001,4.8,5.499867,"Drama, Comedy, Romance",0
Jeepers Creepers,2001,6.1,10.414363,"Horror, Thriller",1
Vamp,1986,5.9,4.119963,"Comedy, Horror",1
The Musketeer,2001,5.2,4.260945,"Action, Adventure, Drama",0
Rock Star,2001,6.0,10.076223,"Music, Drama, Comedy",0
L.I.E.,2001,6.7,8.66635,Drama,1
The Glass House,2001,5.4,6.418936,"Drama, Thriller",0
Hardball,2001,6.3,7.674549,"Comedy, Romance",1
Big Trouble,2002,6.3,5.761051,"Action, Comedy, Thriller",0
Glitter,2001,3.4,5.420686,"Drama, Romance",0
Training Day,2001,7.3,13.664622,"Action, Crime, Drama, Thriller",1
Sidewalks of New York,2001,5.6,2.678923,"Comedy, Drama, Romance",1
"It's a Mad, Mad, Mad, Mad World",1963,7.0,13.266545,"Action, Adventure, Comedy, Crime",1
Play Misty for Me,1971,6.5,5.820841,"Crime, Drama, Romance, Thriller",1
Pocketful of Miracles,1961,7.3,2.649605,"Comedy, Drama",1
SpaceCamp,1986,5.8,6.41742,"Family, Adventure",0
Don't Say a Word,2001,6.0,6.824871,Thriller,1
Hearts in Atlantis,2001,6.5,6.425321,"Drama, Mystery",0
Zoolander,2001,6.1,10.40782,Comedy,1
Joy Ride,2001,6.3,10.337689,"Mystery, Thriller, Drama",1
Max Keeble's Big Move,2001,5.4,2.828884,"Comedy, Family, Fantasy, Science Fiction",1
Serendipity,2001,6.6,5.715737,"Comedy, Romance",1
The Big Red One,1980,6.8,5.395103,"Drama, War",1
Coal Miner's Daughter,1980,7.2,2.847277,"Drama, Music",1
Bandits,2001,6.2,13.136791,"Action, Comedy, Crime, Romance",0
Corky Romano,2001,4.1,4.890067,"Action, Comedy, Crime",1
Mulholland Drive,2001,7.7,18.184056,"Thriller, Drama, Mystery",1
Bones,2001,4.3,6.513545,"Action, Horror, Thriller",0
Dirty Harry,1971,7.4,10.255315,"Action, Crime, Thriller",1
Fiddler on the Roof,1971,7.4,9.227244,"Drama, Romance",1
From Hell,2001,6.6,7.79014,"Horror, Mystery, Thriller",1
The Last Castle,2001,7.0,9.807552,"Action, Drama, Thriller",0
Riding in Cars with Boys,2001,6.5,4.556123,"Comedy, Drama, Romance",0
K-PAX,2001,7.1,12.400152,"Drama, Science Fiction",1
Donnie Darko,2001,7.7,18.303148,"Fantasy, Drama, Mystery",0
Domestic Disturbance,2001,5.4,6.353996,"Mystery, Thriller, Crime",0
"Monsters, Inc.",2001,7.5,26.419962,"Animation, Comedy, Family",1
The One,2001,5.7,9.769047,"Action, Science Fiction, Thriller",1
Tape,2001,6.9,3.580063,Drama,1
Shallow Hal,2001,5.7,12.520688,"Comedy, Romance",1
The Wash,2001,5.3,2.483032,"Action, Comedy",1
Harry Potter and the Philosopher's Stone,2001,7.5,38.187238,"Adventure, Fantasy, Family",1
Novocaine,2001,6.0,3.916221,"Comedy, Crime, Thriller",0
Out Cold,2001,5.8,4.197544,Comedy,0
Spy Game,2001,6.8,18.186839,"Action, Crime, Thriller",1
The Devil's Backbone,2001,7.2,11.111299,"Fantasy, Drama, Horror, Thriller, Science Fiction",1
Funny Girl,1968,6.9,4.651946,"Drama, Comedy, Music, Romance",1
Subway,1985,6.3,8.066663,"Action, Thriller",0
The Last Wave,1977,6.8,3.099222,"Drama, Mystery, Thriller",1
Dressed to Kill,1980,6.8,9.3806,"Horror, Mystery, Thriller",1
Flash Gordon,1980,6.1,6.346979,Science Fiction,0
The Enforcer,1976,6.7,7.550133,"Action, Crime, Thriller",1
The Gauntlet,1977,6.6,6.389326,"Drama, Action, Crime, Thriller",1
Lone Wolf McQuade,1983,5.5,5.839893,"Action, Crime, Drama, Romance, Thriller, Western",1
Sudden Impact,1983,6.5,9.737907,"Action, Crime, Thriller",1
Behind Enemy Lines,2001,6.0,11.185625,"Action, Drama, Thriller, War",1
Ocean's Eleven,2001,7.2,12.114932,"Thriller, Crime",1
Amélie,2001,7.8,12.879381,"Comedy, Romance",1
Not Another Teen Movie,2001,5.5,9.101896,Comedy,1
Vanilla Sky,2001,6.5,10.071057,"Drama, Mystery, Romance, Science Fiction, Thriller",1
The Royal Tenenbaums,2001,7.4,9.707542,"Comedy, Drama",1
Sheena,1984,5.0,4.11214,"Action, Adventure, Comedy, Fantasy, Science Fiction",0
Silent Rage,1982,5.0,1.808605,"Action, Horror, Science Fiction, Thriller",1
Spacehunter: Adventures in the Forbidden Zone,1983,5.1,3.521436,"Adventure, Science Fiction",1
How High,2001,6.4,6.796277,Comedy,1
Jimmy Neutron: Boy Genius,2001,5.6,7.308162,"Action, Adventure, Animation, Comedy, Family, Fantasy, Science Fiction",1
The Lord of the Rings: The Fellowship of the Ring,2001,8.0,32.070725,"Adventure, Fantasy, Action",1
The Majestic,2001,6.6,8.063684,"Drama, Romance",0
A Beautiful Mind,2001,7.7,11.93646,"Drama, Romance",1
Witness for the Prosecution,1957,8.1,9.730217,"Drama, Mystery, Crime",1
Ali,2001,6.7,9.303104,Drama,0
Black Hawk Down,2001,7.2,10.064446,"Action, History, War",1
