title,release_year,budget,revenue,runtime,vote_average,vote_count,popularity,genres,success
The River,1984,18000000.0,11500000.0,122.0,6.5,21.0,6.303384,Drama,0
End of Days,1999,100000000.0,211989043.0,121.0,5.5,488.0,9.62371,"Action, Fantasy, Horror, Mystery",1
Toy Story 2,1999,90000000.0,497366869.0,92.0,7.3,3914.0,17.547693,"Animation, Comedy, Family",1
Ride with the Devil,1999,38000000.0,635096.0,138.0,6.6,49.0,7.059308,"Drama, War, Romance, Western",0
Tumbleweeds,1999,312000.0,1281176.0,102.0,6.2,11.0,0.88888,"Comedy, Drama",1
The End of the Affair,1999,23000000.0,10827816.0,102.0,6.6,56.0,6.200344,Drama,0
The Bonfire of the Vanities,1990,47000000.0,15691192.0,125.0,5.3,113.0,5.507082,"Comedy, Drama",0
The Two Jakes,1990,19000000.0,10000000.0,138.0,6.2,48.0,4.476578,"Crime, Drama, Mystery",0
Deuce Bigalow: Male Gigolo,1999,17000000.0,65535067.0,88.0,5.4,314.0,6.567794,Comedy,1
The Green Mile,1999,60000000.0,284600000.0,189.0,8.2,4166.0,19.96678,"Fantasy, Drama, Crime",1
The Cider House Rules,1999,24000000.0,88545092.0,126.0,6.9,285.0,9.526781,Drama,1
The Last Picture Show,1971,1300000.0,29133000.0,118.0,7.6,133.0,5.961382,Drama,1
Bicentennial Man,1999,100000000.0,93700000.0,131.0,6.9,998.0,9.369918,"Comedy, Science Fiction",0
Stuart Little,1999,133000000.0,300135367.0,84.0,5.8,998.0,8.3595,"Animation, Fantasy, Family, Comedy",1
Fantasia 2000,1999,80000000.0,90874570.0,74.0,7.0,300.0,14.972573,"Animation, Family, Music",1
Magnolia,1999,37000000.0,48451803.0,188.0,7.5,844.0,9.091636,Drama,1
Onegin,1999,14000000.0,206128.0,104.0,5.8,26.0,7.171138,"Drama, Romance",0
Simpatico,1999,10000000.0,929606.0,106.0,5.3,6.0,3.143748,"Comedy, Drama",0
Any Given Sunday,1999,55000000.0,100230832.0,163.0,6.8,430.0,10.571434,Drama,1
Man on the Moon,1999,82000000.0,47434430.0,118.0,6.9,444.0,13.217419,"Comedy, Drama, Romance",0
Galaxy Quest,1999,45000000.0,90683916.0,102.0,6.9,722.0,15.831374,"Comedy, Family, Science Fiction",1
The Talented Mr. Ripley,1999,40000000.0,128798265.0,139.0,7.1,790.0,11.65502,"Thriller, Crime, Drama",1
Next Friday,2000,11000000.0,59827328.0,98.0,6.5,145.0,10.06545,Comedy,1
The Hurricane,1999,50000000.0,73956241.0,146.0,7.2,401.0,5.716009,Drama,1
Angela's Ashes,1999,25.0,13.0,145.0,7.0,59.0,4.496585,Drama,0
Play It to the Bone,1999,24000000.0,8434146.0,124.0,5.7,53.0,4.347609,"Comedy, Drama",0
Supernova,2000,90000000.0,14828081.0,91.0,4.9,109.0,5.496624,"Horror, Science Fiction, Thriller",0
The Terrorist,1998,24554.0,140021.0,95.0,8.1,4.0,0.154526,Drama,1
Papillon,1973,12000000.0,53267000.0,151.0,7.8,445.0,15.698433,"Crime, Drama",1
Dead Calm,1989,10000000.0,7825000.0,96.0,6.6,178.0,13.464246,"Crime, Thriller, Horror, Drama",0
Fast Times at Ridgemont High,1982,4500000.0,27092880.0,90.0,7.0,330.0,14.658885,Comedy,1
A Cry in the Dark,1988,15000000.0,6908797.0,120.0,6.4,49.0,3.970538,Drama,0
Batman: Mask of the Phantasm,1993,6000000.0,5617391.0,76.0,7.4,218.0,7.29114,"Action, Adventure, Animation, Family",0
Poison,1991,250000.0,609524.0,85.0,6.4,15.0,1.924535,"Drama, Horror, Science Fiction",1
Isn't She Great,2000,36000000.0,3003296.0,95.0,4.6,14.0,0.907927,"Drama, Comedy",0
Malcolm X,1992,34000000.0,48169908.0,202.0,7.3,377.0,14.207001,"Drama, History",1
Sister Act,1992,31000000.0,231605150.0,100.0,6.5,713.0,18.83065,"Music, Comedy",1
Sister Act 2: Back in the Habit,1993,38000000.0,57319029.0,107.0,5.9,384.0,12.986842,"Music, Comedy",1
The Hand that Rocks the Cradle,1992,11700000.0,88036683.0,110.0,6.5,196.0,6.672715,Thriller,1
Alive,1993,32000000.0,36733909.0,120.0,6.7,383.0,8.662287,"Action, Adventure, Drama, Thriller",1
Scent of a Woman,1992,31000000.0,134095253.0,157.0,7.3,763.0,14.505987,Drama,1
Wayne's World,1992,20000000.0,121697323.0,94.0,6.5,738.0,10.180776,"Music, Comedy",1
A League of Their Own,1992,40000000.0,107458785.0,128.0,6.8,362.0,10.852038,Comedy,1
Patriot Games,1992,45000000.0,178051587.0,117.0,6.4,440.0,11.075674,"Drama, Action, Thriller, Crime",1
The Bodyguard,1992,25000000.0,411006740.0,129.0,6.2,681.0,9.805017,"Thriller, Action, Drama, Music, Romance",1
Death Becomes Her,1992,55000000.0,149022650.0,104.0,6.3,655.0,11.017417,"Fantasy, Comedy",1
Far and Away,1992,60000000.0,137783840.0,140.0,6.3,294.0,7.472753,"Adventure, Drama, Romance, Western",1
Twin Peaks: Fire Walk with Me,1992,10000000.0,4160851.0,134.0,7.3,429.0,8.736538,"Drama, Mystery",0
Buffy the Vampire Slayer,1992,7000000.0,16624456.0,86.0,5.3,192.0,4.941989,"Action, Comedy, Horror",1
El Mariachi,1992,220000.0,2040920.0,81.0,6.6,243.0,9.972591,"Action, Crime, Thriller",1
Bad Lieutenant,1992,1000000.0,2019469.0,96.0,6.9,162.0,6.417037,"Crime, Drama",1
Scream 3,2000,40000000.0,161834276.0,116.0,5.7,749.0,9.738371,"Horror, Mystery",1
Single White Female,1992,16000000.0,48017402.0,107.0,6.0,139.0,7.246119,Thriller,1
The Boondock Saints,1999,6000000.0,30471.0,108.0,7.2,848.0,12.457908,"Action, Thriller, Crime",0
Gun Shy,2000,10000000.0,1631839.0,101.0,5.4,24.0,6.370105,"Action, Comedy, Romance, Thriller",0
The Beach,2000,40000000.0,144056873.0,119.0,6.3,1271.0,14.430311,"Drama, Adventure, Romance, Thriller",1
The Tigger Movie,2000,30000000.0,45554533.0,77.0,6.3,146.0,7.023414,"Animation, Family",1
Trois,2000,200000.0,1160268.0,93.0,4.5,1.0,0.06431,"Drama, Thriller, Romance",1
Boiler Room,2000,26000000.0,28780255.0,118.0,6.5,202.0,8.518425,"Crime, Drama, Thriller",1
Hanging Up,2000,40000000.0,36037909.0,94.0,5.0,42.0,6.474767,"Comedy, Drama",0
Pitch Black,2000,23000000.0,53187659.0,108.0,6.7,1812.0,6.424399,"Thriller, Science Fiction, Action",1
The Whole Nine Yards,2000,41300000.0,106371651.0,98.0,6.3,540.0,12.061521,"Comedy, Crime",1
City Lights,1931,1500000.0,19181.0,87.0,8.2,444.0,10.891524,"Comedy, Drama, Romance",0
The Kid,1921,250000.0,2500000.0,68.0,8.0,404.0,8.168456,"Comedy, Drama",1
Reindeer Games,2000,42000000.0,32168970.0,124.0,5.3,175.0,12.11759,Thriller,0
3 Strikes,2000,6000000.0,9000000.0,82.0,5.9,15.0,0.651625,"Action, Comedy, Romance",1
Drowning Mona,2000,16000000.0,15427192.0,96.0,5.4,43.0,4.372616,"Comedy, Crime, Mystery",0
The Next Best Thing,2000,25000000.0,24362772.0,108.0,4.3,29.0,2.971999,Comedy,0
Beyond the Mat,1999,2053648.0,500000.0,102.0,7.8,17.0,2.691433,Documentary,0
Birdy,1984,12000000.0,1400000.0,120.0,6.9,112.0,16.243093,"Drama, History",0
Blood Feast,1963,24500.0,4000000.0,67.0,5.3,26.0,1.783412,Horror,1
Mission to Mars,2000,90000000.0,60874615.0,114.0,5.7,374.0,9.021107,Science Fiction,0
The Ninth Gate,1999,38000000.0,58401898.0,133.0,6.3,768.0,11.316349,"Horror, Mystery, Thriller",1
Breaking Away,1979,2300000.0,20000000.0,100.0,7.4,80.0,4.806374,"Drama, Comedy",1
Hoosiers,1986,9000000.0,28607524.0,114.0,7.1,143.0,6.484495,"Drama, Family",1
Bull Durham,1988,7000000.0,50888000.0,108.0,6.6,154.0,6.924072,"Comedy, Romance",1
Dog Day Afternoon,1975,1800000.0,46665856.0,125.0,7.6,685.0,7.530126,"Crime, Drama, Thriller",1
American Graffiti,1973,777000.0,140000000.0,110.0,6.9,330.0,9.188584,"Comedy, Drama",1
JFK,1991,40000000.0,205405498.0,189.0,7.5,513.0,13.813146,"Drama, Thriller, History",1
Blind Date,1987,18000000.0,39321715.0,95.0,5.6,115.0,6.696292,"Comedy, Romance",1
Nadine,1987,12000000.0,5669831.0,83.0,5.5,21.0,7.569698,"Action, Comedy, Romance",0
Titanic,1953,1805000.0,4905000.0,98.0,6.2,27.0,12.90707,"Drama, Action, Romance",1
Erin Brockovich,2000,52000000.0,256271286.0,131.0,7.1,730.0,10.135446,Drama,1
Final Destination,2000,23000000.0,53302314.0,98.0,6.4,1416.0,14.961416,Horror,1
Thelma & Louise,1991,16000000.0,45361000.0,130.0,7.2,766.0,14.785388,"Drama, Thriller, Crime, Adventure",1
Animal House,1978,2700000.0,141000000.0,109.0,7.0,420.0,7.525382,Comedy,1
Do the Right Thing,1989,6500000.0,37295445.0,120.0,7.6,301.0,10.465403,Drama,1
Mo' Better Blues,1990,10000000.0,16153593.0,129.0,6.3,48.0,2.715137,"Drama, Romance",1
Jungle Fever,1991,14000000.0,32482682.0,132.0,6.0,71.0,7.701918,"Drama, Romance",1
Death Wish,1974,3000000.0,22000000.0,93.0,7.0,165.0,12.968011,"Action, Crime, Drama, Thriller",1
Death Wish 2,1982,2000000.0,45000000.0,88.0,6.1,74.0,7.965003,"Action, Crime, Thriller",1
Death Wish 3,1985,9000000.0,16945171.0,92.0,6.1,68.0,12.829904,"Action, Crime, Drama, Thriller",1
Death Wish 5: The Face of Death,1994,5000000.0,1702394.0,95.0,5.0,46.0,3.595599,"Action, Crime, Drama, Thriller",0
Double Indemnity,1944,927262.0,2500000.0,107.0,8.0,425.0,6.49432,"Drama, Mystery, Thriller",1
Cool as Ice,1991,6000000.0,1193062.0,91.0,4.7,27.0,2.329486,"Drama, Action, Comedy, Music, Romance",0
Teenage Mutant Ninja Turtles,1990,13500000.0,202000000.0,93.0,6.5,486.0,13.184585,"Science Fiction, Action, Adventure, Comedy, Family",1
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,25000000.0,78000000.0,88.0,5.8,290.0,7.994266,"Science Fiction, Adventure, Action, Comedy, Family",1
Teenage Mutant Ninja Turtles III,1993,21000000.0,42000000.0,96.0,5.1,189.0,8.13688,"Action, Adventure, Comedy, Family, Fantasy, Science Fiction",1
Red Dawn,1984,4200000.0,38376497.0,114.0,6.4,217.0,8.233168,"Action, Thriller",1
Band of the Hand,1986,8700000.0,4865912.0,109.0,6.9,14.0,4.397712,"Action, Crime, Drama",0
Bloodsport,1988,1500000.0,11806119.0,92.0,6.6,370.0,8.822276,Action,1
Eyes of Laura Mars,1978,7000000.0,20000000.0,104.0,5.7,46.0,3.705714,"Drama, Horror, Mystery, Thriller",1
"Good Morning, Vietnam",1987,13000000.0,123922370.0,121.0,7.1,658.0,9.023282,"Comedy, Drama, War",1
Guess Who's Coming to Dinner,1967,4000000.0,56666667.0,108.0,7.6,174.0,5.032469,"Comedy, Drama, Romance",1
Romeo Must Die,2000,25000000.0,91036760.0,115.0,6.0,334.0,8.369176,"Action, Crime, Thriller",1
Whatever It Takes,2000,15000000.0,9902115.0,94.0,5.1,38.0,3.550711,"Drama, Comedy, Romance",0
Waking the Dead,2000,8500000.0,327418.0,105.0,6.5,22.0,1.241671,"Drama, Romance",0
Modern Times,1936,1.0,8500000.0,87.0,8.1,881.0,8.159556,"Drama, Comedy",1
Hud,1963,2500000.0,10000000.0,112.0,7.4,69.0,4.526285,"Action, Drama, Western",1
The Hustler,1961,2000000.0,7600000.0,134.0,7.6,243.0,9.333533,Drama,1
Close Encounters of the Third Kind,1977,20000000.0,303788635.0,135.0,7.2,1122.0,10.610446,"Science Fiction, Drama",1
Jacob's Ladder,1990,25000000.0,25965144.0,113.0,7.3,376.0,8.176863,"Drama, Mystery, Horror",1
La Bamba,1987,6500000.0,54215416.0,108.0,6.8,120.0,6.476534,"Drama, Music",1
Ladyhawke,1985,20000000.0,18432000.0,121.0,6.8,264.0,8.157587,"Adventure, Drama, Fantasy, Romance",0
Lucas,1986,6000000.0,8200000.0,108.0,6.4,53.0,4.57535,"Comedy, Drama, Romance",1
High Fidelity,2000,30000000.0,47126295.0,113.0,7.0,636.0,8.524956,"Comedy, Drama, Romance, Music",1
The Road to El Dorado,2000,95000000.0,76432727.0,89.0,7.0,892.0,8.755188,"Adventure, Animation, Comedy, Family",0
The Skulls,2000,15000000.0,35007180.0,106.0,5.7,160.0,11.363754,"Crime, Drama, Thriller",1
El Dorado,1966,4653000.0,6000000.0,120.0,7.2,96.0,7.070669,Western,1
Hook,1991,70000000.0,300854823.0,144.0,6.7,1563.0,14.508137,"Adventure, Fantasy, Comedy, Family",1
Midnight Express,1978,2300000.0,35000000.0,121.0,7.6,309.0,7.186048,"Drama, Crime",1
Misery,1990,20000000.0,61276872.0,107.0,7.6,1085.0,15.020845,"Drama, Thriller",1
Mr. Saturday Night,1992,43000000.0,13300000.0,119.0,5.2,17.0,0.987196,"Drama, Comedy",0
Murphy's Romance,1985,13000000.0,30867525.0,107.0,5.7,14.0,1.46034,"Comedy, Romance",1
Network,1976,3800000.0,23689877.0,121.0,7.8,391.0,13.180457,Drama,1
No Way Out,1987,15000000.0,35509515.0,114.0,6.9,155.0,11.457803,"Action, Drama, Thriller",1
The Outlaw Josey Wales,1976,3700000.0,31800000.0,135.0,7.4,303.0,5.849522,"Drama, Western",1
Black and White,1999,10000000.0,5241315.0,98.0,4.6,20.0,1.191035,Drama,0
Frequency,2000,31000000.0,68106245.0,118.0,7.0,473.0,10.163266,"Crime, Drama, Science Fiction, Thriller",1
Ready to Rumble,2000,24000000.0,12372410.0,107.0,4.7,51.0,3.69298,"Action, Comedy, Drama",0
Return to Me,2000,24000000.0,36609995.0,115.0,6.1,68.0,5.269733,"Romance, Comedy, Drama",1
Rules of Engagement,2000,60000000.0,71000000.0,128.0,6.0,178.0,10.278274,"Action, Adventure, Drama, History, War",1
Force 10 from Navarone,1978,5000000.0,7230000.0,118.0,6.4,94.0,5.05047,"Action, Adventure, War, Thriller",1
Arthur,1981,7000000.0,95461682.0,97.0,6.5,125.0,14.911301,"Comedy, Drama, Romance",1
Bachelor Party,1984,6000000.0,38435947.0,105.0,5.8,156.0,5.511756,Comedy,1
Predator,1987,18000000.0,98235548.0,107.0,7.3,2129.0,18.495694,"Science Fiction, Action, Adventure, Thriller",1
The Prince of Tides,1991,30000000.0,74787599.0,132.0,5.9,57.0,2.960942,"Drama, Romance",1
American Psycho,2000,7000000.0,34266564.0,102.0,7.3,2128.0,13.686715,"Thriller, Drama, Crime",1
Keeping the Faith,2000,30000000.0,37036004.0,127.0,5.9,161.0,6.045585,Comedy,1
East Is East,1999,3800000.0,28200000.0,97.0,6.5,60.0,5.138367,Comedy,1
Marathon Man,1976,6500000.0,21709020.0,125.0,7.2,227.0,6.006812,Thriller,1
Caddyshack,1980,6000000.0,39846344.0,98.0,6.7,370.0,10.451986,Comedy,1
Gossip,2000,14000000.0,5108820.0,90.0,5.6,70.0,8.25719,"Drama, Mystery, Thriller",0
Love & Basketball,2000,20000000.0,27728118.0,124.0,7.5,93.0,5.733227,"Action, Comedy, Drama, Romance",1
U-571,2000,62000000.0,127666415.0,116.0,6.1,345.0,7.879924,"Action, Drama, Thriller, War",1
The Virgin Suicides,1999,6000000.0,10409377.0,97.0,7.1,841.0,10.505387,"Drama, Romance",1
Jennifer Eight,1992,20000000.0,11390479.0,124.0,5.8,74.0,4.620936,"Crime, Drama, Mystery",0
The Flintstones in Viva Rock Vegas,2000,83000000.0,59468275.0,90.0,4.4,140.0,6.053595,"Science Fiction, Comedy, Family, Romance",0
Where the Heart Is,2000,15000000.0,33771174.0,120.0,6.9,159.0,5.833133,"Comedy, Drama, Romance",1
The Big Kahuna,2000,7000000.0,3728888.0,90.0,6.8,91.0,4.896026,"Comedy, Drama",0
The Idiots,1998,2500000.0,7235.0,117.0,6.7,107.0,9.174221,"Drama, Comedy",0
Carnosaur,1993,1000000.0,1753979.0,83.0,3.9,21.0,0.293373,"Horror, Science Fiction",1
Gladiator,2000,103000000.0,457640427.0,155.0,7.9,5566.0,23.186667,"Action, Drama, Adventure",1
Human Traffic,1999,600000.0,4000000.0,99.0,6.8,98.0,4.988283,"Comedy, Drama",1
The Lords of Flatbush,1974,160000.0,4000000.0,86.0,5.7,18.0,1.391503,Drama,1
Battlefield Earth,2000,44000000.0,21400000.0,118.0,3.0,259.0,5.276926,"Action, Science Fiction, War",0
Center Stage,2000,18000000.0,17200925.0,115.0,6.8,95.0,10.491734,"Drama, Music",0
Hamlet,2000,2000000.0,1568749.0,112.0,6.0,35.0,12.896203,Drama,0
Pee-wee's Big Adventure,1985,6000000.0,40940662.0,90.0,6.6,239.0,11.461437,"Adventure, Comedy",1
Dinosaur,2000,127500000.0,354248063.0,82.0,6.2,563.0,9.998415,"Animation, Family",1
Road Trip,2000,16000000.0,119754278.0,93.0,5.9,550.0,8.00158,"Comedy, Adventure",1
The Hollywood Knights,1980,2500000.0,10000000.0,91.0,6.4,18.0,2.599219,Comedy,1
The Myth Of Fingerprints,1997,2000000.0,458815.0,93.0,3.4,5.0,0.228526,"Drama, Comedy",0
Mission: Impossible II,2000,125000000.0,546388105.0,123.0,5.9,1966.0,18.97178,"Adventure, Action, Thriller",1
Shanghai Noon,2000,55000000.0,56932305.0,110.0,6.2,756.0,10.308442,"Adventure, Action, Comedy, Western",1
The Gold Rush,1925,923000.0,2500000.0,95.0,7.7,308.0,6.202041,"Adventure, Comedy, Drama",1
On Her Majesty's Secret Service,1969,6500000.0,81974493.0,142.0,6.5,464.0,9.356264,"Adventure, Action, Thriller",1
The Spy Who Loved Me,1977,14000000.0,185438673.0,125.0,6.6,515.0,9.781451,"Adventure, Action, Thriller",1
Moonraker,1979,34000000.0,210308099.0,126.0,5.9,551.0,10.576273,"Action, Adventure, Thriller, Science Fiction",1
The Man with the Golden Gun,1974,7000000.0,97572000.0,125.0,6.4,533.0,12.127492,"Adventure, Action, Thriller",1
Big Momma's House,2000,30000000.0,173959438.0,98.0,5.6,514.0,7.978985,"Crime, Comedy",1
American Gigolo,1980,4800000.0,22743674.0,117.0,5.9,137.0,11.53267,"Thriller, Drama, Crime, Romance",1
The Guns of Navarone,1961,6000000.0,28900000.0,158.0,7.3,191.0,8.522673,"Action, Adventure, Drama, War",1
Stay Tuned,1992,25000000.0,10736401.0,87.0,6.0,51.0,13.72021,"Comedy, Fantasy",0
Blazing Saddles,1974,2600000.0,119500000.0,93.0,7.2,619.0,13.233262,"Western, Comedy",1
Eraserhead,1977,10000.0,7000000.0,89.0,7.5,500.0,7.871001,"Drama, Fantasy, Horror, Science Fiction",1
For a Few Dollars More,1965,600000.0,15000000.0,132.0,7.8,988.0,13.295342,Western,1
Flatliners,1990,26000000.0,61489265.0,115.0,6.3,413.0,11.890138,"Drama, Horror, Science Fiction, Thriller",1
Porky's,1981,4000000.0,125728258.0,94.0,6.1,185.0,12.650546,Comedy,1
Porky's II: The Next Day,1983,6500000.0,33759266.0,98.0,5.2,61.0,5.269838,Comedy,1
Porky's 3: Revenge,1985,9000000.0,20518905.0,92.0,5.0,48.0,3.208108,Comedy,1
Predator 2,1990,35000000.0,57120318.0,108.0,6.0,743.0,11.736241,"Science Fiction, Action, Thriller",1
The Running Man,1987,27000000.0,38122105.0,101.0,6.4,713.0,9.389976,"Action, Science Fiction",1
Starman,1984,22000000.0,28744356.0,115.0,6.6,219.0,9.763928,"Action, Adventure, Romance, Science Fiction",1
Alien Nation,1988,16000000.0,32155047.0,91.0,5.9,81.0,15.133316,"Crime, Science Fiction, Thriller",1
Mad Max,1979,400000.0,100000000.0,93.0,6.6,1235.0,11.412619,"Adventure, Action, Thriller, Science Fiction",1
Mad Max 2: The Road Warrior,1981,2000000.0,24600832.0,95.0,7.3,981.0,11.189831,"Adventure, Action, Thriller, Science Fiction",1
Mad Max Beyond Thunderdome,1985,12305523.0,36230219.0,107.0,5.9,765.0,12.689648,"Action, Adventure, Science Fiction",1
Angel Heart,1987,17000000.0,17185632.0,113.0,7.0,326.0,7.290872,"Horror, Mystery, Thriller",1
Nine 1/2 Weeks,1986,17000000.0,6735922.0,117.0,5.8,183.0,6.706262,"Drama, Romance",0
Firestarter,1984,15000000.0,17080167.0,114.0,5.9,174.0,7.048087,"Fantasy, Drama, Horror, Action, Thriller",1
Action Jackson,1988,7000000.0,20256975.0,96.0,4.9,51.0,14.054862,"Action, Adventure, Comedy, Crime, Drama",1
Gone in Sixty Seconds,2000,90000000.0,237202299.0,118.0,6.1,1511.0,14.091765,"Action, Crime, Thriller",1
Love's Labour's Lost,2000,13000000.0,299792.0,93.0,5.4,14.0,5.867426,"Comedy, Music, Romance",0
Shaft,1971,4000000.0,12121618.0,100.0,6.5,68.0,3.73688,"Adventure, Action, Thriller, Crime",1
The Conversation,1974,1600000.0,4420000.0,113.0,7.5,377.0,13.245638,"Crime, Drama, Mystery",1
The Fury,1978,5500000.0,24000000.0,118.0,6.2,73.0,11.844029,"Horror, Science Fiction, Thriller",1
Serpico,1973,3000000.0,29800000.0,129.0,7.5,429.0,12.842165,"Crime, Drama, History",1
Ace in the Hole,1951,1821052.0,1300000.0,111.0,7.9,128.0,11.046411,Drama,0
The Sugarland Express,1974,3000000.0,12800000.0,110.0,6.4,70.0,4.506948,"Crime, Drama",1
Big Trouble in Little China,1986,25000000.0,11000000.0,99.0,7.1,727.0,11.109932,"Action, Adventure, Comedy, Fantasy",0
Boys and Girls,2000,16000000.0,20627372.0,94.0,5.4,107.0,10.070988,"Comedy, Drama, Romance",1
Shaft,2000,46000000.0,107196498.0,99.0,5.5,316.0,7.420019,"Action, Adventure, Crime, Thriller",1
Titan A.E.,2000,75000000.0,36754634.0,94.0,6.3,320.0,7.515631,"Animation, Action, Science Fiction, Family, Adventure",0
Butterfly,1999,3000000.0,6000000.0,96.0,7.2,44.0,2.753674,Drama,1
Chicken Run,2000,45000000.0,224834564.0,84.0,6.5,1190.0,11.834245,"Animation, Comedy, Family",1
"Me, Myself & Irene",2000,51000000.0,149270999.0,116.0,6.1,956.0,9.95456,Comedy,1
The Patriot,2000,110000000.0,215294342.0,165.0,6.8,1130.0,15.960788,"Drama, History, War, Action",1
The Adventures of Rocky & Bullwinkle,2000,76000000.0,35134820.0,88.0,3.9,89.0,11.880936,"Action, Adventure, Animation, Comedy, Family",0
The Perfect Storm,2000,120000000.0,325756637.0,130.0,6.2,609.0,18.911961,Drama,1
Missing in Action,1984,1500000.0,22812411.0,101.0,5.2,107.0,6.241185,"Action, Adventure, Thriller, War",1
Missing in Action 2: The Beginning,1985,2410000.0,10755447.0,100.0,5.0,65.0,9.110348,"Action, Adventure, War",1
House Party,1990,2500000.0,26386000.0,100.0,6.1,52.0,2.291511,"Comedy, Drama",1
Shaft in Africa,1973,2142000.0,1458000.0,112.0,5.4,6.0,1.424722,"Adventure, Action, Thriller, Crime, Mystery",0
Shaft's Big Score!,1972,1978000.0,10000000.0,104.0,6.1,7.0,0.760855,"Action, Adventure, Crime, Mystery",1
The Kid,2000,65000000.0,69700000.0,104.0,6.0,242.0,15.045725,"Fantasy, Comedy, Family",1
Scary Movie,2000,19000000.0,278019771.0,88.0,6.0,1468.0,12.446738,Comedy,1
But I'm a Cheerleader,1999,1200000.0,2600000.0,85.0,6.5,101.0,4.928139,Comedy,1
Footloose,1984,8200000.0,80035402.0,107.0,6.4,525.0,10.403992,"Drama, Family, Music, Romance",1
Duel in the Sun,1946,6000000.0,20400000.0,144.0,6.2,38.0,8.441279,Western,1
X-Men,2000,75000000.0,296339527.0,104.0,6.8,4172.0,0.954467,"Adventure, Action, Science Fiction",1
The In Crowd,2000,15000000.0,5217498.0,105.0,4.7,15.0,1.991904,Thriller,0
What Lies Beneath,2000,100000000.0,155464351.0,130.0,6.3,504.0,9.500497,"Drama, Horror, Mystery, Thriller",1
Pokémon: The Movie 2000,1999,30000000.0,133949270.0,84.0,6.4,201.0,7.554848,"Adventure, Fantasy, Animation, Science Fiction, Family",1
Sinbad and the Eye of the Tiger,1977,3500000.0,16000000.0,113.0,6.3,39.0,3.502655,"Action, Adventure, Family, Fantasy, Science Fiction",1
What About Bob?,1991,35000000.0,63710000.0,100.0,6.7,265.0,11.787942,Comedy,1
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,1972,2000000.0,18016290.0,88.0,6.6,218.0,5.378481,Comedy,1
Love and Death,1975,3000000.0,20173742.0,85.0,7.5,176.0,5.165666,"History, Comedy",1
Nutty Professor II: The Klumps,2000,84000000.0,123307945.0,106.0,4.7,338.0,6.671316,"Fantasy, Comedy, Romance, Science Fiction",1
Coyote Ugly,2000,45000000.0,113916474.0,100.0,5.8,590.0,15.650836,"Comedy, Drama, Music, Romance",1
Hollow Man,2000,95000000.0,190213455.0,112.0,5.6,645.0,7.912103,"Action, Science Fiction, Thriller",1
Space Cowboys,2000,65000000.0,128884132.0,130.0,6.3,407.0,7.45761,"Action, Adventure, Thriller",1
Saving Grace,2000,10000000.0,26330482.0,93.0,6.3,115.0,5.13955,"Crime, Comedy",1
The Crush,1993,6000000.0,13609396.0,89.0,5.5,65.0,8.976337,"Drama, Thriller",1
Kelly's Heroes,1970,4000000.0,5200000.0,144.0,7.2,191.0,8.418662,"Adventure, Comedy, War",1
Phantasm II,1988,3000000.0,7282851.0,97.0,6.3,97.0,8.733192,"Action, Horror, Science Fiction, Thriller",1
Pumpkinhead,1988,3500000.0,4385516.0,86.0,5.9,108.0,11.841506,"Fantasy, Horror",1
Silent Fall,1994,30000000.0,3180674.0,101.0,5.2,12.0,3.034244,"Drama, Thriller, Mystery",0
The Cell,2000,33000000.0,104155843.0,107.0,6.0,442.0,13.234894,"Horror, Science Fiction, Thriller",1
Godzilla 2000,1999,1000000.0,10037390.0,107.0,5.9,44.0,2.80298,"Adventure, Horror, Action, Science Fiction",1
The Naked Gun: From the Files of Police Squad!,1988,12000000.0,78756177.0,85.0,7.1,1020.0,15.698222,"Comedy, Crime",1
The Naked Gun 2½: The Smell of Fear,1991,23000000.0,86930411.0,85.0,6.6,556.0,9.794569,"Comedy, Crime",1
Shane,1953,3100000.0,20000000.0,118.0,7.3,143.0,6.63816,"Drama, Western",1
Supergirl,1984,35000000.0,14296438.0,124.0,4.7,108.0,11.932675,"Adventure, Fantasy, Action, Science Fiction",0
The Art of War,2000,40000000.0,30199105.0,117.0,5.6,136.0,9.800232,"Crime, Action, Adventure",0
Bring It On,2000,28000000.0,90449929.0,98.0,5.8,574.0,6.402888,Comedy,1
Highlander: Endgame,2000,25000000.0,15843608.0,87.0,4.4,107.0,11.430964,"Action, Fantasy, Science Fiction",0
The Way of the Gun,2000,8500000.0,19125401.0,119.0,6.4,106.0,6.03633,"Action, Crime, Drama, Thriller",1
Almost Famous,2000,60000000.0,47383689.0,122.0,7.4,807.0,9.086699,"Drama, Music",0
Under Suspicion,2000,25000000.0,260562.0,110.0,6.4,104.0,11.839267,"Mystery, Thriller",0
Urban Legends: Final Cut,2000,14000000.0,38574362.0,97.0,4.4,102.0,12.243528,Horror,1
Dancer in the Dark,2000,12800000.0,40031879.0,140.0,7.7,392.0,10.684806,"Drama, Crime, Music",1
The Broken Hearts Club: A Romantic Comedy,2000,1000000.0,1744858.0,94.0,6.3,26.0,1.795849,"Comedy, Drama, Romance",1
Remember the Titans,2000,30000000.0,136706683.0,113.0,7.4,835.0,6.587726,Drama,1
Hellraiser,1987,1000000.0,14564027.0,94.0,6.9,464.0,10.81305,Horror,1
